joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high
ring_tip,curl,6626,0.5345608210081497,0.6435072991070284,0.506151675539258,0.6456571539890775,0.661487753773323,0.6403454085529876,0.015830599784245503,-0.00032712057648089907,0.03226674043742411,0.021142345220335423,0.003745134592565883,0.03833153211680496
pinky_mcp,radial,6626,0.401901599758527,0.5648890426455984,0.5047463540187591,0.5774688872445639,0.5957297074544872,0.5705919067938703,0.018260820209923256,0.0013261642027887575,0.03613428709675729,0.025137800660616882,0.0035184267359238937,0.04665486868345103
pinky_mcp,spread,6626,0.5650467853908844,0.5599836444302093,0.5093793372657877,0.5665631283474796,0.5809018695469077,0.5591014556901961,0.014338741199428129,-0.003647703900970911,0.03181202922280054,0.02180041385671161,-0.004033466464785981,0.04389581156319394
pinky_mcp,curl,6626,0.43419861153033507,0.7538631318948407,0.488261543595034,0.7420793847656096,0.7690834112361604,0.7363654291126921,0.02700402647055078,0.011685755136601222,0.042990548600883374,0.032717982123468325,0.015812552729974012,0.05033233937395698
pinky_pip,radial,6626,0.4124660428614549,0.7214531904440866,0.5187527803052925,0.7105370527697128,0.7259764939726412,0.7124900454144337,0.015439441202928395,0.0027919146408794484,0.02853800286213493,0.013486448558207464,-0.0007590920881082125,0.02757595217511274
pinky_pip,spread,6626,0.5724418955629339,0.6587969422559197,0.5064935137450608,0.6617606754933127,0.676279497158317,0.6572449537106876,0.014518821665004289,-0.00060562307687729,0.030837934318006504,0.01903454344762945,0.0016066378358821855,0.03960038972583767
pinky_pip,curl,6626,0.46015695744038637,0.7191762025395843,0.4962198360521509,0.7051146619931484,0.7275160817998962,0.6990533796467409,0.022401419806747813,0.008646535706285496,0.03663502027862144,0.028462702153155384,0.011889596301999771,0.045186510939214324
pinky_dip,radial,6626,0.42197404165408997,0.7339541381384074,0.5079725045477127,0.7213310137197114,0.743856198896596,0.7236425964731414,0.02252518517688462,0.009526088573795947,0.036572506818724225,0.020213602423454602,0.005914193112434541,0.0358590410926199
pinky_dip,spread,6626,0.5709326894053728,0.6830801364454286,0.49677970452816245,0.6769381953755945,0.6926216837846415,0.67251330512152,0.015683488409046986,-0.0005625767007936987,0.03146153065883208,0.02010837866312154,0.00327300067204629,0.03989033120573442
pinky_dip,curl,6626,0.4791729550256565,0.7086734644984792,0.5045686631970192,0.6968026156973786,0.7179793600850604,0.6909207647218539,0.0211767443876818,0.0059278419278550295,0.03616853470991617,0.027058595363206428,0.009811030602106202,0.044320856124362464
pinky_tip,radial,6626,0.43374584968306673,0.719163001722672,0.49354183451961786,0.7066564730774995,0.732771610186467,0.706285527329057,0.026115137108967512,0.011400381828969668,0.04107234498994537,0.026486082857409943,0.008960821800176003,0.04545803829296336
pinky_tip,spread,6626,0.5401448837911259,0.6746337737740656,0.5091613524651009,0.6686716710622709,0.6804751085558806,0.6657142781163466,0.01180343749360968,-0.004211636518508901,0.028102629460205815,0.014760830439533912,-0.0038271993491828136,0.033756037129175256
pinky_tip,curl,6626,0.5030184123151222,0.6745502670522139,0.5118480873292309,0.6558997533521951,0.6780381044481611,0.6520263323022252,0.02213835109596607,0.005054259950695386,0.03806494991728202,0.026011772145935974,0.0069276547143000775,0.04566512049445107
